route_pattern,class,source_file
/,CORE_INDEXABLE,src/app/page.tsx
/about,CORE_INDEXABLE,src/app/about/page.tsx
/account/update-password,CORE_INDEXABLE,src/app/account/update-password/page.tsx
/admin,CORE_NON_INDEXABLE,src/app/admin/page.tsx
/admin/analytics,CORE_NON_INDEXABLE,src/app/admin/analytics/page.tsx
/admin/analytics/funnels,CORE_NON_INDEXABLE,src/app/admin/analytics/funnels/page.tsx
/admin/content-freshness,CORE_NON_INDEXABLE,src/app/admin/content-freshness/page.tsx
/admin/content/documents,CORE_NON_INDEXABLE,src/app/admin/content/documents/page.tsx
/admin/content/documents/[id],CORE_NON_INDEXABLE,src/app/admin/content/documents/[id]/page.tsx
/admin/content/documents/[id]/preview,CORE_NON_INDEXABLE,src/app/admin/content/documents/[id]/preview/page.tsx
/admin/content/forum,CORE_NON_INDEXABLE,src/app/admin/content/forum/page.tsx
/admin/content/knowledge,CORE_NON_INDEXABLE,src/app/admin/content/knowledge/page.tsx
/admin/content/map,CORE_NON_INDEXABLE,src/app/admin/content/map/page.tsx
/admin/content/shop,CORE_NON_INDEXABLE,src/app/admin/content/shop/page.tsx
/admin/content/social-feed,CORE_NON_INDEXABLE,src/app/admin/content/social-feed/page.tsx
/admin/content/translations,CORE_NON_INDEXABLE,src/app/admin/content/translations/page.tsx
/admin/editorial-components,CORE_NON_INDEXABLE,src/app/admin/editorial-components/page.tsx
/admin/feature-flags,CORE_NON_INDEXABLE,src/app/admin/feature-flags/page.tsx
/admin/ingestion,CORE_NON_INDEXABLE,src/app/admin/ingestion/page.tsx
/admin/ingestion/moderation,CORE_NON_INDEXABLE,src/app/admin/ingestion/moderation/page.tsx
/admin/ingestion/prompts,CORE_NON_INDEXABLE,src/app/admin/ingestion/prompts/page.tsx
/admin/ingestion/runs,CORE_NON_INDEXABLE,src/app/admin/ingestion/runs/page.tsx
/admin/ingestion/sources,CORE_NON_INDEXABLE,src/app/admin/ingestion/sources/page.tsx
/admin/ingestion/sources/[id],CORE_NON_INDEXABLE,src/app/admin/ingestion/sources/[id]/page.tsx
/admin/leads,CORE_NON_INDEXABLE,src/app/admin/leads/page.tsx
/admin/marketing/content-factory,CORE_NON_INDEXABLE,src/app/admin/marketing/content-factory/page.tsx
/admin/marketing/email-templates,CORE_NON_INDEXABLE,src/app/admin/marketing/email-templates/page.tsx
/admin/marketing/search-visibility,CORE_NON_INDEXABLE,src/app/admin/marketing/search-visibility/page.tsx
/admin/marketplace/apartments,CORE_NON_INDEXABLE,src/app/admin/marketplace/apartments/page.tsx
/admin/marketplace/excursions,CORE_NON_INDEXABLE,src/app/admin/marketplace/excursions/page.tsx
/admin/marketplace/experts,CORE_NON_INDEXABLE,src/app/admin/marketplace/experts/page.tsx
/admin/marketplace/mobility,CORE_NON_INDEXABLE,src/app/admin/marketplace/mobility/page.tsx
/admin/marketplace/moderation,CORE_NON_INDEXABLE,src/app/admin/marketplace/moderation/page.tsx
/admin/marketplace/organizers,CORE_NON_INDEXABLE,src/app/admin/marketplace/organizers/page.tsx
/admin/marketplace/tours,CORE_NON_INDEXABLE,src/app/admin/marketplace/tours/page.tsx
/admin/media,CORE_NON_INDEXABLE,src/app/admin/media/page.tsx
/admin/modules,CORE_NON_INDEXABLE,src/app/admin/modules/page.tsx
/admin/operations,CORE_NON_INDEXABLE,src/app/admin/operations/page.tsx
/admin/operations/bookings,CORE_NON_INDEXABLE,src/app/admin/operations/bookings/page.tsx
/admin/operations/communications-commerce,CORE_NON_INDEXABLE,src/app/admin/operations/communications-commerce/page.tsx
/admin/operations/email,CORE_NON_INDEXABLE,src/app/admin/operations/email/page.tsx
/admin/operations/leads,CORE_NON_INDEXABLE,src/app/admin/operations/leads/page.tsx
/admin/operations/payments,CORE_NON_INDEXABLE,src/app/admin/operations/payments/page.tsx
/admin/operations/privacy-requests,CORE_NON_INDEXABLE,src/app/admin/operations/privacy-requests/page.tsx
/admin/operations/reconciliation,CORE_NON_INDEXABLE,src/app/admin/operations/reconciliation/page.tsx
/admin/operations/shop-orders,CORE_NON_INDEXABLE,src/app/admin/operations/shop-orders/page.tsx
/admin/operations/waitlist,CORE_NON_INDEXABLE,src/app/admin/operations/waitlist/page.tsx
/admin/system/api-keys,CORE_NON_INDEXABLE,src/app/admin/system/api-keys/page.tsx
/admin/system/audit,CORE_NON_INDEXABLE,src/app/admin/system/audit/page.tsx
/admin/system/commercial-plans,CORE_NON_INDEXABLE,src/app/admin/system/commercial-plans/page.tsx
/admin/system/redirects,CORE_NON_INDEXABLE,src/app/admin/system/redirects/page.tsx
/admin/system/settings,CORE_NON_INDEXABLE,src/app/admin/system/settings/page.tsx
/admin/system/staff,CORE_NON_INDEXABLE,src/app/admin/system/staff/page.tsx
/admin/users,CORE_NON_INDEXABLE,src/app/admin/users/page.tsx
/apartments,POST_LAUNCH,src/app/apartments/page.tsx
/apartments/[slug],POST_LAUNCH,src/app/apartments/[slug]/page.tsx
/audio-guides,CORE_INDEXABLE,src/app/audio-guides/page.tsx
/audio-guides/[id],CORE_INDEXABLE,src/app/audio-guides/[id]/page.tsx
/auth/error,CORE_NON_INDEXABLE,src/app/auth/error/page.tsx
/auth/reset-password,CORE_NON_INDEXABLE,src/app/auth/reset-password/page.tsx
/baza-znaniy,CORE_INDEXABLE,src/app/baza-znaniy/page.tsx
/baza-znaniy/[slug],CORE_INDEXABLE,src/app/baza-znaniy/[slug]/page.tsx
/baza-znaniy/avtory,CORE_INDEXABLE,src/app/baza-znaniy/avtory/page.tsx
/baza-znaniy/avtory/[slug],CORE_INDEXABLE,src/app/baza-znaniy/avtory/[slug]/page.tsx
/baza-znaniy/poisk,CORE_NON_INDEXABLE,src/app/baza-znaniy/poisk/page.tsx
/baza-znaniy/razdel/[slug],CORE_INDEXABLE,src/app/baza-znaniy/razdel/[slug]/page.tsx
/blog,CORE_INDEXABLE,src/app/blog/page.tsx
/blog/[slug],CORE_INDEXABLE,src/app/blog/[slug]/page.tsx
/blog/author/[slug],CORE_INDEXABLE,src/app/blog/author/[slug]/page.tsx
/blog/authors,CORE_INDEXABLE,src/app/blog/authors/page.tsx
/blog/authors/[slug],CORE_INDEXABLE,src/app/blog/authors/[slug]/page.tsx
/blog/hub/[hubId],CORE_INDEXABLE,src/app/blog/hub/[hubId]/page.tsx
/booking/find,CORE_NON_INDEXABLE,src/app/booking/find/page.tsx
/booking/pay/[token],CORE_NON_INDEXABLE,src/app/booking/pay/[token]/page.tsx
/booking/pay/[token]/result,CORE_NON_INDEXABLE,src/app/booking/pay/[token]/result/page.tsx
/booking/travelers/[token],CORE_NON_INDEXABLE,src/app/booking/travelers/[token]/page.tsx
/car-rental,DORMANT,src/app/car-rental/page.tsx
/collections,CORE_INDEXABLE,src/app/collections/page.tsx
/collections/[slug],CORE_INDEXABLE,src/app/collections/[slug]/page.tsx
/contacts,CORE_INDEXABLE,src/app/contacts/page.tsx
/destinations,CORE_INDEXABLE,src/app/destinations/page.tsx
/destinations/[slug],CORE_INDEXABLE,src/app/destinations/[slug]/page.tsx
/dev/design-system,CORE_NON_INDEXABLE,src/app/dev/design-system/page.tsx
/embed/flights/wl,CORE_NON_INDEXABLE,src/app/embed/flights/wl/page.tsx
/embed/tours,CORE_NON_INDEXABLE,src/app/embed/tours/page.tsx
/esim,CORE_INDEXABLE,src/app/esim/page.tsx
/excursions,CORE_INDEXABLE,src/app/excursions/page.tsx
/excursions/[slug],CORE_INDEXABLE,src/app/excursions/[slug]/page.tsx
/excursions/city/[citySlug],CORE_INDEXABLE,src/app/excursions/city/[citySlug]/page.tsx
/excursions/guide/[guideId],CORE_INDEXABLE,src/app/excursions/guide/[guideId]/page.tsx
/experts,CORE_INDEXABLE,src/app/experts/page.tsx
/experts/[slug],CORE_INDEXABLE,src/app/experts/[slug]/page.tsx
/faq,CORE_INDEXABLE,src/app/faq/page.tsx
/flights,CORE_INDEXABLE,src/app/flights/page.tsx
/flights/[route],CORE_INDEXABLE,src/app/flights/[route]/page.tsx
/forum,DORMANT,src/app/forum/page.tsx
/forum/[category],DORMANT,src/app/forum/[category]/page.tsx
/forum/[category]/[threadId],DORMANT,src/app/forum/[category]/[threadId]/page.tsx
/gallery,CORE_INDEXABLE,src/app/gallery/page.tsx
/guide,CORE_INDEXABLE,src/app/guide/page.tsx
/guide/[slug],CORE_INDEXABLE,src/app/guide/[slug]/page.tsx
/guide/ob-argentine,CORE_INDEXABLE,src/app/guide/ob-argentine/page.tsx
