"source","destination","status_code","source_kind","status","owner","evidence"
"/marshruty/argentina-2-nedeli","/blog/argentina-2-nedeli-marshrut","308","content_plan_static","implemented","SEO owner","src/data/content-plan-url-redirects.ts"
"/marshruty/argentina-10-dnej","/blog/argentina-10-dnej-3-nedeli","308","content_plan_static","implemented","SEO owner","src/data/content-plan-url-redirects.ts"
"/marshruty/ruta-40-sem-ozer","/blog/ruta-40-sem-ozer","308","content_plan_static","implemented","SEO owner","src/data/content-plan-url-redirects.ts"
"/dengi/stoimost-zhizni-ba","/baza-znaniy/stoimost-zhizni-ba","308","content_plan_static","implemented","SEO owner","src/data/content-plan-url-redirects.ts"
"/dengi/kak-menyat-dengi","/baza-znaniy/kak-menyat-valyutu","308","content_plan_static","implemented","SEO owner","src/data/content-plan-url-redirects.ts"
"/dengi/kak-menyat-valyutu","/baza-znaniy/kak-menyat-valyutu","308","content_plan_static","implemented","SEO owner","src/data/content-plan-url-redirects.ts"
"/dengi/byudzhet-poezdki","/blog/byudzhet-poezdki-argentina","308","content_plan_static","implemented","SEO owner","src/data/content-plan-url-redirects.ts"
"/transport/vnutrennie-aviabilety","/baza-znaniy/vnutrennie-aviabilety","308","content_plan_static","implemented","SEO owner","src/data/content-plan-url-redirects.ts"
"/transport/kak-dobratsya-v-argentinu","/blog/kak-dobratsya-v-argentinu","308","content_plan_static","implemented","SEO owner","src/data/content-plan-url-redirects.ts"
"/goroda/buenos-aires-rajony","/blog/buenos-aires-rajony","308","content_plan_static","implemented","SEO owner","src/data/content-plan-url-redirects.ts"
"/goroda/mendoza-vino","/blog/mendoza-vinnyj-gid","308","content_plan_static","implemented","SEO owner","src/data/content-plan-url-redirects.ts"
"/pereezd/vnzh-argentina","/blog/vnzh-argentina-rezidenciya","308","content_plan_static","implemented","SEO owner","src/data/content-plan-url-redirects.ts"
"/pereezd/viza-cifrovogo-kochevnika","/blog/viza-cifrovogo-kochevnika-argentina","308","content_plan_static","implemented","SEO owner","src/data/content-plan-url-redirects.ts"
"/pereezd/dni-cuil","/blog/dni-cuil-argentina","308","content_plan_static","implemented","SEO owner","src/data/content-plan-url-redirects.ts"
"/pereezd/grazhdanstvo","/blog/grazhdanstvo-argentiny","308","content_plan_static","implemented","SEO owner","src/data/content-plan-url-redirects.ts"
"/pereezd/bankovskij-schet","/blog/bankovskij-schet-argentina","308","content_plan_static","implemented","SEO owner","src/data/content-plan-url-redirects.ts"
"/blog/buenos-aires-neighborhoods","/blog/buenos-aires-rajony","308","content_plan_static","implemented","SEO owner","src/data/content-plan-url-redirects.ts"
"/blog/mendoza-wine-route","/blog/mendoza-vinnyj-gid","308","content_plan_static","implemented","SEO owner","src/data/content-plan-url-redirects.ts"
"/blog/kak-menyat-dengi-argentina","/baza-znaniy/kak-menyat-valyutu","308","content_plan_static","implemented","SEO owner","src/data/content-plan-url-redirects.ts"
"/blog/stoimost-zhizni-buenos-aires","/baza-znaniy/stoimost-zhizni-ba","308","content_plan_static","implemented","SEO owner","src/data/content-plan-url-redirects.ts"
"/blog/vnutrennie-aviabilety-argentina","/baza-znaniy/vnutrennie-aviabilety","308","content_plan_static","implemented","SEO owner","src/data/content-plan-url-redirects.ts"
"/map","/mapa-argentina","308","content_plan_static","implemented","SEO owner","src/data/content-plan-url-redirects.ts"
"/parki/ischigualasto-valle-de-la-luna","/blog/ischigualasto-valle-de-la-luna","308","content_plan_static","implemented","SEO owner","src/data/content-plan-url-redirects.ts"
"/st_tour/:path*","/tours","308","next_config","implemented","SEO owner","next.config.ts"
"/st_activity/:path*","/excursions","308","next_config","implemented","SEO owner","next.config.ts"
"/contact","/contacts","308","next_config","implemented","SEO owner","next.config.ts"
"/privacy-policy","/legal/privacy","308","next_config","implemented","SEO owner","next.config.ts"
"/politika-konfidencialnosti","/legal/privacy","308","next_config","implemented","SEO owner","next.config.ts"
"/about-us","/about","308","next_config","implemented","SEO owner","next.config.ts"
"/o-nas","/about","308","next_config","implemented","SEO owner","next.config.ts"
"/migration","/immigration","308","next_config","implemented","SEO owner","next.config.ts"
"/migration/:path*","/immigration/:path*","308","next_config","implemented","SEO owner","next.config.ts"
"/migratsiya","/immigration","308","next_config","implemented","SEO owner","next.config.ts"
"/migraciya","/immigration","308","next_config","implemented","SEO owner","next.config.ts"
"/pereezd","/immigration","308","next_config","implemented","SEO owner","next.config.ts"
"/blog/blue-dollar-argentina-2025","/blog/blue-dollar-argentina-2026","308","next_config","implemented","SEO owner","next.config.ts"
"/blog/argentina-tourist-visa-2025","/blog/argentina-tourist-visa-2026","308","next_config","implemented","SEO owner","next.config.ts"
"/baza-znaniy/ciudad-de-salta","/baza-znaniy/salta","308","next_config","implemented","SEO owner","next.config.ts"
"/baza-znaniy/parque-nacional-los-cardones","/baza-znaniy/los-cardones","308","next_config","implemented","SEO owner","next.config.ts"
"/baza-znaniy/parque-nacional-tierra-del-fuego","/baza-znaniy/ognennaya-zemlya","308","next_config","implemented","SEO owner","next.config.ts"
"/baza-znaniy/aep-eze-stykovka","/baza-znaniy/aeroporty","308","next_config","implemented","SEO owner","next.config.ts"
"/excursions/city/city-151","/excursions/city/Buenos_Aires","308","next_config","implemented","SEO owner","next.config.ts"
"/excursions/city/Puerto_Iguasu","/destinations/iguazu","308","next_config","implemented","SEO owner","next.config.ts"
"/excursions/city/Puerto_Iguazu","/destinations/iguazu","308","next_config","implemented","SEO owner","next.config.ts"
